Title,悔_,,,,,,
Artist,Essbee,,,,,,
BPM,193,,,,,,
Offset,1.55,,,,,,
Difficulty,Insane,,,,,,
Level,14+,,,,,,
Mapper,visionalee,,,,,,
Illustrator,just demo,,,,,,
Description,just demo,,,,,,
Note Data,,,,OC/OH Multiplier,Time Signature,,
141.5,0,0,single,,,,
142,1,0,single,,,,
142.5,1,0,single,,,,
143,0,0,single,,,,
143.5,0,0,single,,,,
144,1,0,single,,,,
144.5,0,0,single,,,,
145,1,0,single,,,,
145.5,1,0,single,,,,
146,1,0,single,,,,
146.5,1,0,single,,,,
147,1,0,single,,,,
147.25,0,0,single,,,,
147.5,1,0,single,,,,
147.75,0,0,single,,,,
148,0,0,single,,,,
148.5,1,0,single,,,,
149,1,0,single,,,,
149.5,1,0,single,,,,
150,1,0,single,,,,
150.5,1,0,single,,,,
151,1,0,single,,,,
151.5,1,0,single,,,,
152,1,0,single,,,,
152.5,1,0,single,,,,
153,0,0,single,,,,
153.5,0,0,single,,,,
154,1,0,single,,,,
154.5,1,0,single,,,,
155,1,0,single,,,,
155.25,1,0,single,,,,
155.5,1,0,single,,,,
155.75,1,0,single,,,,
156,1,0,single,,,,
156.5,1,0,single,,,,
157,0,0,single,,,,
157.5,0,0,single,,,,
158,0,0,single,,,,
158.5,1,0,single,,,,
159,0,0,single,,,,
159.5,0,0,single,,,,
160,1,0,single,,,,
160.5,1,0,single,,,,
161,1,0,single,,,,
161.5,0,0,single,,,,
162,1,0,single,,,,
162.5,0,0,single,,,,
163,1,0,single,,,,
163.25,1,0,single,,,,
163.5,1,0,single,,,,
163.75,0,0,single,,,,
164,0,0,single,,,,
164.5,0,0,single,,,,
165,0,0,single,,,,
165.5,1,0,single,,,,
166,1,0,single,,,,
166.5,0,0,single,,,,
167,0,0,single,,,,
167.5,1,0,single,,,,
168,1,0,single,,,,
168.5,0,0,single,,,,
169,1,0,single,,,,
169.5,1,0,single,,,,
170,1,0,single,,,,
170.5,0,0,single,,,,
171,1,0,single,,,,
171.25,0,0,single,,,,
171.5,1,0,single,,,,
171.75,0,0,single,,,,
172,1,0,single,,,,
172.5,0,0,single,,,,
173,0,0,single,,,,
173.5,1,0,single,,,,
174,1,0,single,,,,
174.5,0,0,single,,,,
175,1,0,single,,,,
175.5,1,0,single,,,,
176,1,0,single,,,,
176.5,0,0,single,,,,
177,1,0,single,,,,
177.5,1,0,single,,,,
178,1,0,single,,,,
178.5,1,0,single,,,,
179,1,0,single,,,,
179.25,1,0,single,,,,
179.5,0,0,single,,,,
179.75,1,0,single,,,,
180,0,0,single,,,,
180.5,0,0,single,,,,
181,1,0,single,,,,
181.5,1,0,single,,,,
182,0,0,single,,,,
182.5,1,0,single,,,,
183,0,0,single,,,,
183.5,0,0,single,,,,
184,0,0,single,,,,
184.5,0,0,single,,,,
185,0,0,single,,,,
185.5,1,0,single,,,,
186,0,0,single,,,,
186.5,1,0,single,,,,
187,0,0,single,,,,
187.25,1,0,single,,,,
187.5,0,0,single,,,,
187.75,1,0,single,,,,
188,0,0,single,,,,
188.5,1,0,single,,,,
189,0,0,single,,,,
189.5,0,0,single,,,,
190,1,0,single,,,,
190.5,1,0,single,,,,
191,1,0,single,,,,
191.5,1,0,single,,,,
192,0,0,single,,,,
192.5,0,0,single,,,,
193,1,0,single,,,,
193.5,1,0,single,,,,
194,1,0,single,,,,
194.5,1,0,single,,,,
195,1,0,single,,,,
195.25,1,0,single,,,,
195.5,0,0,single,,,,
195.75,0,0,single,,,,
196,1,0,single,,,,
196.5,1,0,single,,,,
197,1,0,single,,,,
197.5,0,0,single,,,,
198,1,0,single,,,,
198.5,0,0,single,,,,
199,0,0,hide,,,,
202,0,1,show,,,,
206,0,0,single,,,,
207,1,1,overheat,0.5,,,
209.5,0,1,single,,,,
210.5,0,1,single,,,,
212,0,1,single,,,,
213,0,1,single,,,,
214,0,1,single,,,,
215,0,1,single,,,,
216.5,1,1,single,,,,
218,1,1,single,,,,
218.5,1,1,single,,,,
221,1,1,single,,,,
222,1,1,single,,,,
223,1,1,single,,,,
225.5,1,1,single,,,,
226.5,1,1,single,,,,
227.5,0,1,single,,,,
228,1,1,single,,,,
229,1,1,single,,,,
230,0,1,single,,,,
231,1,1,single,,,,
232,1,1,single,,,,
232.5,1,1,single,,,,
235,0,1,single,,,,
236.5,0,1,single,,,,
238,1,1,single,,,,
239,0,1,single,,,,
240.5,1,1,single,,,,
241,0,1,single,,,,
241.5,0,1,single,,,,
242,1,1,single,,,,
242.5,1,1,single,,,,
245,0,1,single,,,,
245.5,1,1,single,,,,
246.5,1,1,single,,,,
248.5,0,1,single,,,,
250,1,1,single,,,,
251,1,1,single,,,,
252,1,1,single,,,,
252.5,0,1,single,,,,
253.5,1,1,single,,,,
254,0,1,single,,,,
255,1,1,single,,,,
256,0,1,single,,,,
256.5,0,1,single,,,,
257.5,1,1,single,,,,
258,1,1,single,,,,
259,0,1,single,,,,
260,1,1,single,,,,
260.5,0,1,single,,,,
261.5,0,1,single,,,,
262,1,1,single,,,,
263,1,1,single,,,,
264.5,0,1,single,,,,
266,1,1,single,,,,
266.5,0,0,show,,,,
266.5,0,1,single,,,,
268,0,1,overclock,2,,,
268.5,0,1,single,,,,
269,1,1,single,,,,
269.25,0,1,single,,,,
269.5,0,1,single,,,,
269.75,1,1,single,,,,
270,0,1,single,,,,
270.25,0,1,single,,,,
270.5,0,1,single,,,,
270.75,1,1,single,,,,
271,1,0,reverse,1,,,
272.5,0,1,hide,,,,
272.5,0,0,single,,,,
273.5,0,0,single,,,,
274,0,0,single,,,,
274.5,1,0,single,,,,
275.5,0,0,single,,,,
276,1,0,single,,,,
276.5,1,0,single,,,,
277,0,0,single,,,,
277.5,1,0,single,,,,
278,0,0,single,,,,
278.5,1,0,reverse,1,,,
280,1,0,single,,,,
281,0,0,single,,,,
281.5,1,0,single,,,,
282.5,1,0,single,,,,
283.5,0,0,single,,,,
284,0,0,single,,,,
284.5,0,0,single,,,,
285,1,0,single,,,,
285.5,0,0,single,,,,
286,0,0,single,,,,
286.5,1,0,single,,,,
287,1,0,reverse,1,,,
288.5,0,0,single,,,,
289.5,0,0,single,,,,
290,0,0,single,,,,
290.5,1,0,single,,,,
291.5,1,0,single,,,,
292,0,0,single,,,,
292.5,1,0,single,,,,
293,0,0,single,,,,
293.5,1,0,single,,,,
294,1,0,single,,,,
294.5,0,0,reverse,1,,,
296,0,0,single,,,,
297,1,0,single,,,,
297.5,0,0,single,,,,
298.5,0,0,single,,,,
299.5,0,0,single,,,,
300,1,0,single,,,,
300.5,0,0,single,,,,
301,0,1,show,,,,
301,0,0,single,,,,
301.25,1,0,single,,,,
301.5,1,0,single,,,,
301.75,0,0,single,,,,
302,1,0,single,,,,
302.25,1,0,single,,,,
302.5,0,0,single,,,,
302.75,1,0,single,,,,
303,0,0,single,,,,
304,0,1,single,,,,
304.5,1,1,single,,,,
305.5,1,1,single,,,,
306,1,1,single,,,,
307,0,1,single,,,,
308.5,0,1,single,,,,
309.5,1,1,single,,,,
310,0,1,single,,,,
311,1,1,single,,,,
312,1,1,single,,,,
312.5,1,1,single,,,,
313.5,1,1,single,,,,
314.5,1,1,single,,,,
315.5,0,1,single,,,,
315.75,0,1,single,,,,
316,1,1,single,,,,
316.5,1,1,single,,,,
317,1,1,single,,,,
317.5,1,1,single,,,,
318,0,1,single,,,,
318.5,1,1,single,,,,
319,0,1,single,,,,
320,0,0,single,,,,
320.5,0,0,single,,,,
321.5,1,0,single,,,,
322.5,1,0,single,,,,
323,0,0,single,,,,
324,0,0,single,,,,
325,1,0,single,,,,
326,0,0,single,,,,
327,1,0,single,,,,
328,0,0,single,,,,
328.5,1,0,single,,,,
329.5,0,0,single,,,,
330.5,1,0,single,,,,
331,0,0,overheat,0.5,,,
332,0,1,overheat,0.5,,,
332.5,0,0,single,,,,
333.5,1,1,single,,,,
334.5,0,0,single,,,,
336.5,1,1,single,,,,
337,0,0,overclock,2,,,
337.5,1,0,single,,,,
338.5,1,0,single,,,,
339.5,0,1,single,,,,
339.75,0,1,single,,,,
340,1,1,overclock,2,,,
340.5,1,0,single,,,,
341,0,0,single,,,,
341.5,1,0,single,,,,
342,1,0,single,,,,
342.5,0,0,single,,,,
343,0,0,single,,,,
344,0,0,single,,,,
344.5,1,0,single,,,,
345.5,0,0,single,,,,
346,0,0,single,,,,
346.5,0,0,single,,,,
347.5,0,0,single,,,,
348,0,0,single,,,,
348.5,1,0,single,,,,
349,0,0,single,,,,
349.5,1,0,single,,,,
350,0,0,single,,,,
350.5,1,0,single,,,,
352.5,1,1,single,,,,
354,0,1,single,,,,
355,1,1,single,,,,
356,1,1,single,,,,
357,1,1,single,,,,
358,1,1,single,,,,
358.5,1,1,single,,,,
359.5,0,1,single,,,,
360.5,1,1,single,,,,
361,1,1,single,,,,
362,1,1,single,,,,
362.5,1,1,single,,,,
363.5,0,1,single,,,,
364,1,1,single,,,,
364.5,0,1,single,,,,
365,1,1,single,,,,
365.25,0,0,single,,,,
365.5,0,0,single,,,,
365.75,1,0,single,,,,
366,0,0,single,,,,
366.25,0,0,single,,,,
366.5,1,0,single,,,,
366.75,1,0,single,,,,
367,1,0,single,,,,
367.25,0,0,single,,,,
367.5,0,0,single,,,,
367.75,1,0,single,,,,
368,1,0,single,,,,
369,1,0,single,,,,
369.5,1,0,single,,,,
370,0,0,single,,,,
370.5,0,0,single,,,,
371,1,0,single,,,,
371.25,0,0,single,,,,
371.5,0,0,single,,,,
371.75,0,0,single,,,,
372,0,0,single,,,,
373,0,0,single,,,,
373.5,0,0,single,,,,
374,0,0,single,,,,
374.5,1,0,single,,,,
375,1,0,overclock,2,,,
375.25,0,0,single,,,,
375.5,0,0,single,,,,
375.75,0,0,single,,,,
376,0,0,single,,,,
376.25,0,0,single,,,,
376.5,0,0,single,,,,
376.75,1,0,single,,,,
377,1,0,single,,,,
377.25,0,0,single,,,,
377.5,1,0,single,,,,
377.75,0,0,single,,,,
378,1,0,single,,,,
378.25,0,0,single,,,,
378.5,1,0,single,,,,
378.75,1,0,single,,,,
379,0,0,overheat,0.5,,,
379.25,1,0,single,,,,
379.5,1,0,single,,,,
379.75,0,0,single,,,,
380,1,0,single,,,,
380.25,1,0,single,,,,
380.5,0,0,single,,,,
380.75,0,0,single,,,,
381,1,0,single,,,,
381.25,1,0,single,,,,
381.5,1,0,single,,,,
381.75,0,0,single,,,,
382,1,0,single,,,,
382.25,0,0,single,,,,
382.5,0,0,single,,,,
382.75,0,0,single,,,,
383,1,1,single,,,,
383.25,1,1,single,,,,
383.5,1,1,single,,,,
383.75,0,1,single,,,,
384,0,1,single,,,,
385,1,1,single,,,,
385.5,1,1,single,,,,
386,1,1,single,,,,
386.5,1,1,single,,,,
387,1,1,single,,,,
387.25,1,1,single,,,,
387.5,0,1,single,,,,
387.75,1,1,single,,,,
388,0,1,single,,,,
389,0,1,single,,,,
389.5,0,1,single,,,,
390,1,1,single,,,,
390.5,1,1,single,,,,
391,1,1,overclock,2,,,
391.25,1,1,single,,,,
391.5,0,1,single,,,,
391.75,1,1,single,,,,
392,1,1,single,,,,
392.25,1,1,single,,,,
392.5,1,1,single,,,,
392.75,1,1,single,,,,
393,1,1,single,,,,
393.25,0,1,single,,,,
393.5,0,1,single,,,,
393.75,1,1,single,,,,
394,1,1,single,,,,
394.25,1,1,single,,,,
394.5,1,1,single,,,,
394.75,0,1,single,,,,
395,0,1,single,,,,
395.25,1,1,single,,,,
395.5,0,1,single,,,,
395.75,0,1,single,,,,
396,0,1,single,,,,
396.25,0,1,single,,,,
396.5,0,1,single,,,,
396.75,0,1,single,,,,
397,0,1,single,,,,
397.333333333333,0,1,single,,,,
397.666666666667,0,1,single,,,,
398,1,1,single,,,,
398.333333333333,0,1,single,,,,
398.666666666667,1,1,single,,,,
399,0,1,overheat,0.5,,,
399.5,0,1,single,,,,
400,0,1,single,,,,
401,1,0,overclock,2,,,
401.25,1,0,single,,,,
401.5,0,0,single,,,,
401.75,1,0,single,,,,
402,0,0,single,,,,
402.25,0,0,single,,,,
402.5,0,0,single,,,,
402.75,0,0,single,,,,
403,1,0,single,,,,
403.25,0,0,single,,,,
403.5,1,0,single,,,,
403.75,1,0,single,,,,
404,1,0,single,,,,
404.25,0,0,single,,,,
404.5,1,0,single,,,,
404.75,1,0,single,,,,
405,1,0,single,,,,
405.25,1,0,single,,,,
405.5,0,0,single,,,,
405.75,0,0,single,,,,
406,1,0,single,,,,
406.25,0,0,single,,,,
406.5,1,0,single,,,,
406.75,0,0,single,,,,
407,1,0,single,,,,
407.25,1,0,single,,,,
407.5,0,0,single,,,,
407.75,0,0,single,,,,
408,0,0,single,,,,
408.25,1,0,single,,,,
408.5,0,0,single,,,,
408.75,0,0,single,,,,
409,1,0,single,,,,
409.25,0,0,single,,,,
409.5,0,0,single,,,,
409.75,0,0,single,,,,
410,1,0,single,,,,
410.25,0,0,single,,,,
410.5,1,0,single,,,,
410.75,1,0,single,,,,
411,0,0,single,,,,
411.25,1,0,single,,,,
411.5,1,0,single,,,,
411.75,1,0,single,,,,
412,1,0,single,,,,
412.25,1,0,single,,,,
412.5,0,0,single,,,,
412.75,0,0,single,,,,
413,1,0,single,,,,
413.25,0,0,single,,,,
413.5,0,0,single,,,,
413.75,0,0,single,,,,
414,0,0,single,,,,
414.25,0,0,single,,,,
414.5,1,0,single,,,,
414.75,1,0,single,,,,
415,0,0,overheat,0.5,,,
415.5,0,0,single,,,,
416,0,0,single,,,,
416.5,1,0,single,,,,
417,0,0,single,,,,
417.5,0,0,single,,,,
418,1,0,single,,,,
418.5,1,0,single,,,,
419,1,1,single,,,,
419.5,1,1,single,,,,
420,1,1,single,,,,
420.5,0,1,single,,,,
421,0,1,single,,,,
421.5,0,1,single,,,,
422,0,1,single,,,,
422.5,0,1,single,,,,
423,1,1,single,,,,
423.5,1,1,single,,,,
424,1,1,single,,,,
424.5,1,1,single,,,,
425,1,1,single,,,,
425.5,0,1,single,,,,
426,0,1,single,,,,
426.5,0,1,single,,,,
427,1,1,single,,,,
427.25,1,1,single,,,,
427.5,0,1,single,,,,
427.75,0,1,single,,,,
428,0,1,single,,,,
428.25,1,1,single,,,,
428.5,0,1,single,,,,
428.75,0,1,single,,,,
429,1,1,single,,,,
429.25,0,1,single,,,,
429.5,1,1,single,,,,
429.75,1,1,single,,,,
430,0,1,single,,,,
430.25,1,1,single,,,,
430.5,1,1,single,,,,
430.75,0,1,single,,,,
431,1,1,overheat,0.5,,,
433,0,0,overheat,0.5,,,
433.5,0,0,single,,,,
434.5,0,0,single,,,,
435.5,1,0,single,,,,
436,0,0,single,,,,
437,0,0,single,,,,
438,1,0,single,,,,
438.5,1,0,single,,,,
439,1,0,single,,,,
441,1,1,single,,,,
441.5,0,1,single,,,,
442.5,0,1,single,,,,
444,1,1,single,,,,
445,0,1,single,,,,
446,1,1,single,,,,
447,0,1,single,,,,
448.5,0,0,single,,,,
449.5,0,0,single,,,,
450.5,1,0,single,,,,
453,0,0,single,,,,
455,1,1,single,,,,
457,0,0,single,,,,
457.5,1,0,single,,,,
458.5,0,0,single,,,,
461,0,0,single,,,,
462,0,0,single,,,,
462.5,1,0,single,,,,
464,1,1,single,,,,
464.25,0,1,single,,,,
464.5,0,1,single,,,,
464.75,1,1,single,,,,
465,1,0,single,,,,
466,0,1,single,,,,
466.5,1,1,single,,,,
467.5,1,1,single,,,,
468,0,1,single,,,,
469,1,1,single,,,,
470,1,1,single,,,,
470.5,1,1,single,,,,
471,0,1,single,,,,
472,0,0,single,,,,
472.25,0,0,single,,,,
472.5,0,0,single,,,,
472.75,1,0,single,,,,
473,1,0,single,,,,
473.5,1,1,single,,,,
474.5,1,1,single,,,,
476,1,0,single,,,,
477,1,0,single,,,,
478,0,0,single,,,,
478.5,0,0,single,,,,
481,0,0,single,,,,
483,1,0,single,,,,
484.5,0,0,single,,,,
485,0,0,single,,,,
485.5,0,0,single,,,,
486.5,0,0,single,,,,
487.5,0,0,single,,,,
488.5,0,0,single,,,,
489.5,1,0,single,,,,
490.5,0,0,single,,,,
491.5,0,0,single,,,,
492,1,0,single,,,,
492.5,0,0,single,,,,
493,0,0,single,,,,
493.5,1,0,single,,,,
494,1,0,single,,,,
494.5,1,0,single,,,,
,,,,,,,
